antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_str,consequent_str
"frozenset({'target_inappropriate', 'attendance_review'})","frozenset({'uth_oui', 'reason_treatment'})",0.20609202851587816,0.5463383020090732,0.14452365521710953,0.7012578616352201,1.2835597633489262,1.0,0.03192768630013916,1.5185728416959443,0.2782648485403131,0.2377398720682303,0.34148697214734947,0.4828946484925804,"target_inappropriate, attendance_review","uth_oui, reason_treatment"
"frozenset({'target_inappropriate', 'attendance_review'})","frozenset({'level_haut', 'reason_treatment', 'uth_oui'})",0.20609202851587816,0.5463383020090732,0.14452365521710953,0.7012578616352201,1.2835597633489262,1.0,0.03192768630013916,1.5185728416959443,0.2782648485403131,0.2377398720682303,0.34148697214734947,0.4828946484925804,"target_inappropriate, attendance_review","level_haut, reason_treatment, uth_oui"
"frozenset({'level_haut', 'attendance_review', 'spec_head_neck'})",frozenset({'uth_oui'}),0.12767336357744652,0.7077122488658457,0.11471160077770577,0.8984771573604062,1.2695515144753726,1.0,0.024355597520044334,2.8790343486714236,0.24339537109325823,0.15917266187050363,0.6526613166454697,0.5302825347241592,"level_haut, attendance_review, spec_head_neck",uth_oui
"frozenset({'level_haut', 'age_enfant'})",frozenset({'uth_oui'}),0.15359688917692807,0.7077122488658457,0.13674659753726506,0.8902953586497889,1.2579906029273118,1.0,0.028044197679063215,2.6643152699536348,0.24229767097537425,0.1887298747763864,0.6246690430080363,0.5417594009366161,"level_haut, age_enfant",uth_oui
"frozenset({'level_haut', 'attendance_review', 'spec_rhinology'})",frozenset({'uth_oui'}),0.13609850939727802,0.7077122488658457,0.12054439403758911,0.8857142857142858,1.251517530088959,1.0,0.02422581188475205,2.5575178224238515,0.23263073832974385,0.16666666666666666,0.6089958821666142,0.528021978021978,"level_haut, attendance_review, spec_rhinology",uth_oui
"frozenset({'target_inappropriate', 'uth_oui', 'spec_rhinology'})","frozenset({'level_haut', 'reason_treatment'})",0.13869086195722619,0.6694750486066104,0.11600777705767984,0.836448598130841,1.2494096678759805,1.0,0.023157705507573137,2.020923988519581,0.23176580871071206,0.16760299625468167,0.5051768370899761,0.5048651509531262,"target_inappropriate, uth_oui, spec_rhinology","level_haut, reason_treatment"
"frozenset({'uth_non', 'target_not_applicable'})",frozenset({'reason_treatment'}),0.10952689565780946,0.7861309138042774,0.10693454309786131,0.9763313609467456,1.2419450040732303,1.0,0.020832064528241823,9.035968891769278,0.21877288165497782,0.13557929334428923,0.8893311816388739,0.556178870910306,"uth_non, target_not_applicable",reason_treatment
frozenset({'target_not_applicable'}),frozenset({'reason_treatment'}),0.10952689565780946,0.7861309138042774,0.10693454309786131,0.9763313609467456,1.2419450040732303,1.0,0.020832064528241823,9.035968891769278,0.21877288165497782,0.13557929334428923,0.8893311816388739,0.556178870910306,target_not_applicable,reason_treatment
"frozenset({'level_haut', 'target_not_applicable', 'uth_non'})",frozenset({'reason_treatment'}),0.10887880751782242,0.7861309138042774,0.10628645495787427,0.9761904761904763,1.2417657912299298,1.0,0.02069345850996851,8.982501620220383,0.2184833702882484,0.13475760065735415,0.8886724386724391,0.5556962273780082,"level_haut, target_not_applicable, uth_non",reason_treatment
"frozenset({'level_haut', 'target_not_applicable'})",frozenset({'reason_treatment'}),0.10887880751782242,0.7861309138042774,0.10628645495787427,0.9761904761904763,1.2417657912299298,1.0,0.02069345850996851,8.982501620220383,0.2184833702882484,0.13475760065735415,0.8886724386724391,0.5556962273780082,"level_haut, target_not_applicable",reason_treatment
